pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución_id,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2000,5,22251,Quesos de mediana humedad (pasta semidura),8820.63,t,Toneladas,0.24,kg,Kilogramos
32,Argentina,2000,5,22251,Quesos de alta humedad (pasta blanda),18178.61,t,Toneladas,0.49,kg,Kilogramos
32,Argentina,2000,5,22251,Queso fundido,763.25,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,5,22222,Dulce de leche,7692.15,t,Toneladas,0.21,kg,Kilogramos
32,Argentina,2000,5,22120,Crema,2220.42,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,5,22222,Leche condensada,644.23,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,5,22241,Manteca,3385.59,t,Toneladas,0.09,kg,Kilogramos
32,Argentina,2000,5,22230,Yogur ,15832.96,t,Toneladas,0.42,kg,Kilogramos
32,Argentina,2000,5,22290,Postres lacteos y flanes,1815,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,6,22211,Leche en polvo entera ,10302.24,t,Toneladas,0.28,kg,Kilogramos
32,Argentina,2000,6,22212,Leche en polvo descremada,750.54,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,6,22251,Quesos de baja humedad (pasta dura),4237.59,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2000,6,22251,Quesos de mediana humedad (pasta semidura),13036.39,t,Toneladas,0.35,kg,Kilogramos
32,Argentina,2000,6,22251,Quesos de alta humedad (pasta blanda),21836.36,t,Toneladas,0.59,kg,Kilogramos
32,Argentina,2000,6,22251,Queso fundido,646.06,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,6,22222,Dulce de leche,10408.84,t,Toneladas,0.28,kg,Kilogramos
32,Argentina,2000,6,22120,Crema,2456.23,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2000,6,22222,Leche condensada,772.14,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,6,22241,Manteca,3424.24,t,Toneladas,0.09,kg,Kilogramos
32,Argentina,2000,6,22230,Yogur ,14469.42,t,Toneladas,0.39,kg,Kilogramos
32,Argentina,2000,6,22290,Postres lacteos y flanes,2270,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,7,22211,Leche en polvo entera ,3575.28,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2000,7,22212,Leche en polvo descremada,722.65,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,7,22251,Quesos de baja humedad (pasta dura),4175.36,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2000,7,22251,Quesos de mediana humedad (pasta semidura),11013.59,t,Toneladas,0.3,kg,Kilogramos
32,Argentina,2000,7,22251,Quesos de alta humedad (pasta blanda),20639.68,t,Toneladas,0.55,kg,Kilogramos
32,Argentina,2000,7,22251,Queso fundido,963.4,t,Toneladas,0.03,kg,Kilogramos
